"rules","support","confidence","coverage","lift","count"
"{Intro=0,DataMining=0,Survey=0,Cat.Data=0,Regression=0,Forecast=0,SW=0} => {DOE=1}",0.0712328767123288,0.787878787878788,0.0904109589041096,4.56469456469456,26
"{Intro=0,Survey=0,Cat.Data=0,Regression=0,Forecast=0,DOE=0,SW=0} => {DataMining=1}",0.0657534246575342,0.774193548387097,0.0849315068493151,4.34739454094293,24
"{Intro=0,DataMining=0,Cat.Data=0,Regression=0,Forecast=0,DOE=0,SW=0} => {Survey=1}",0.063013698630137,0.766666666666667,0.0821917808219178,4.11519607843137,23
"{Intro=0,DataMining=0,Survey=0,Cat.Data=0,Forecast=0,DOE=0,SW=0} => {Regression=1}",0.0904109589041096,0.825,0.10958904109589,3.96217105263158,33
"{Intro=0,DataMining=0,Survey=0,Cat.Data=0,Regression=0,SW=0} => {DOE=1}",0.073972602739726,0.627906976744186,0.117808219178082,3.63787375415282,27
"{Intro=0,DataMining=0,Survey=0,Regression=0,Forecast=0,DOE=0,SW=0} => {Cat.Data=1}",0.0575342465753425,0.75,0.0767123287671233,3.60197368421053,21
"{Intro=0,Survey=0,Cat.Data=0,Regression=0,DOE=0,SW=0} => {DataMining=1}",0.0712328767123288,0.619047619047619,0.115068493150685,3.47619047619048,26
"{Intro=0,DataMining=0,Survey=0,Cat.Data=0,Regression=0,Forecast=0,DOE=0} => {SW=1}",0.0575342465753425,0.75,0.0767123287671233,3.37962962962963,21
"{Intro=0,DataMining=0,Survey=0,Cat.Data=0,DOE=0,SW=0} => {Regression=1}",0.0958904109589041,0.686274509803922,0.13972602739726,3.29592363261094,35
"{Intro=0,DataMining=0,Cat.Data=0,Regression=0,DOE=0,SW=0} => {Survey=1}",0.0684931506849315,0.609756097560976,0.112328767123288,3.27295552367288,25
"{Intro=0,DataMining=0,Survey=0,Regression=0,DOE=0,SW=0} => {Cat.Data=1}",0.0602739726027397,0.578947368421053,0.104109589041096,2.78047091412742,22
"{Intro=0,DataMining=0,Survey=0,Cat.Data=0,Forecast=0,DOE=0} => {Regression=1}",0.0958904109589041,0.555555555555556,0.172602739726027,2.66812865497076,35
"{Intro=0,DataMining=0,Survey=0,Forecast=0,DOE=0,SW=0} => {Regression=1}",0.0904109589041096,0.540983606557377,0.167123287671233,2.5981449525453,33
"{Intro=0,DataMining=0,Survey=0,Cat.Data=0,Regression=0,DOE=0} => {SW=1}",0.0575342465753425,0.567567567567568,0.101369863013699,2.55755755755756,21
"{Intro=0,DataMining=0,Cat.Data=0,Forecast=0,DOE=0,SW=0} => {Regression=1}",0.0904109589041096,0.523809523809524,0.172602739726027,2.515664160401,33
"{Intro=0,Survey=0,Cat.Data=0,Forecast=0,DOE=0,SW=0} => {Regression=1}",0.0904109589041096,0.515625,0.175342465753425,2.47635690789474,33
"{Intro=0,DataMining=0,Survey=0,Cat.Data=0,DOE=0} => {Regression=1}",0.104109589041096,0.506666666666667,0.205479452054795,2.43333333333333,38
"{Intro=0,DataMining=0,Survey=0,Cat.Data=0,Forecast=0,SW=0} => {Regression=1}",0.0904109589041096,0.5,0.180821917808219,2.40131578947368,33
"{DataMining=0,Survey=0,Cat.Data=0,Regression=0,Forecast=0,DOE=0,SW=0} => {Intro=1}",0.210958904109589,0.916666666666667,0.23013698630137,2.32349537037037,77
"{DataMining=0,Survey=0,Cat.Data=0,Regression=0,DOE=0,SW=0} => {Intro=1}",0.216438356164384,0.831578947368421,0.26027397260274,2.1078216374269,79
"{DataMining=0,Survey=0,Cat.Data=0,Regression=0,Forecast=0,DOE=0} => {Intro=1}",0.221917808219178,0.743119266055046,0.298630136986301,1.88360091743119,81
"{DataMining=0,Survey=0,Regression=0,Forecast=0,DOE=0,SW=0} => {Intro=1}",0.216438356164384,0.738317757009346,0.293150684931507,1.87143042575286,79
"{DataMining=0,Cat.Data=0,Regression=0,Forecast=0,DOE=0,SW=0} => {Intro=1}",0.216438356164384,0.724770642201835,0.298630136986301,1.83709225280326,79
"{Survey=0,Cat.Data=0,Regression=0,Forecast=0,DOE=0,SW=0} => {Intro=1}",0.221917808219178,0.723214285714286,0.306849315068493,1.83314732142857,81
"{DataMining=0,Survey=0,Cat.Data=0,Regression=0,Forecast=0,SW=0} => {Intro=1}",0.213698630136986,0.702702702702703,0.304109589041096,1.78115615615616,78
"{DataMining=0,Survey=0,Cat.Data=0,Regression=0,DOE=0} => {Intro=1}",0.23013698630137,0.694214876033058,0.331506849315068,1.75964187327824,84
"{DataMining=0,Survey=0,Regression=0,DOE=0,SW=0} => {Intro=1}",0.224657534246575,0.683333333333333,0.328767123287671,1.73206018518519,82
"{DataMining=0,Cat.Data=0,Regression=0,DOE=0,SW=0} => {Intro=1}",0.227397260273973,0.669354838709677,0.33972602739726,1.69662858422939,83
"{Survey=0,Cat.Data=0,Regression=0,DOE=0,SW=0} => {Intro=1}",0.227397260273973,0.664,0.342465753424658,1.68305555555556,83
"{DataMining=0,Survey=0,Cat.Data=0,Forecast=0,DOE=0,SW=0} => {Intro=1}",0.213698630136986,0.661016949152542,0.323287671232877,1.67549435028249,78
"{DataMining=0,Survey=0,Cat.Data=0,Regression=0,SW=0} => {Intro=1}",0.221917808219178,0.653225806451613,0.33972602739726,1.65574596774194,81
"{DataMining=0,Cat.Data=0,Regression=1,SW=0} => {Intro=0}",0.101369863013699,0.973684210526316,0.104109589041096,1.608120981186,37
"{DataMining=0,Survey=0,Cat.Data=0,Regression=1,SW=0} => {Intro=0}",0.0986301369863014,0.972972972972973,0.101369863013699,1.60694631282867,36
"{DataMining=0,Cat.Data=0,Regression=1,DOE=0,SW=0} => {Intro=0}",0.0958904109589041,0.972222222222222,0.0986301369863014,1.60570638511815,35
"{DataMining=0,Survey=0,Cat.Data=0,Regression=1,DOE=0,SW=0} => {Intro=0}",0.0958904109589041,0.972222222222222,0.0986301369863014,1.60570638511815,35
"{Cat.Data=0,Regression=1,Forecast=0,SW=0} => {Intro=0}",0.0931506849315069,0.971428571428571,0.0958904109589041,1.6043956043956,34
"{DataMining=0,Cat.Data=0,Regression=1,Forecast=0,SW=0} => {Intro=0}",0.0931506849315069,0.971428571428571,0.0958904109589041,1.6043956043956,34
"{Survey=0,Cat.Data=0,Regression=1,Forecast=0,SW=0} => {Intro=0}",0.0904109589041096,0.970588235294118,0.0931506849315069,1.60300771892467,33
"{Cat.Data=0,Regression=1,Forecast=0,DOE=0,SW=0} => {Intro=0}",0.0904109589041096,0.970588235294118,0.0931506849315069,1.60300771892467,33
"{DataMining=0,Survey=0,Cat.Data=0,Regression=1,Forecast=0,SW=0} => {Intro=0}",0.0904109589041096,0.970588235294118,0.0931506849315069,1.60300771892467,33
"{Survey=0,Cat.Data=0,Regression=1,Forecast=0,DOE=0,SW=0} => {Intro=0}",0.0904109589041096,0.970588235294118,0.0931506849315069,1.60300771892467,33
"{DataMining=0,Cat.Data=0,Regression=1,Forecast=0,DOE=0,SW=0} => {Intro=0}",0.0904109589041096,0.970588235294118,0.0931506849315069,1.60300771892467,33
"{DataMining=0,Survey=0,Cat.Data=0,Regression=1,Forecast=0,DOE=0,SW=0} => {Intro=0}",0.0904109589041096,0.970588235294118,0.0931506849315069,1.60300771892467,33
"{DataMining=0,Regression=0,Forecast=0,DOE=1,SW=0} => {Intro=0}",0.0794520547945206,0.966666666666667,0.0821917808219178,1.59653092006033,29
"{DataMining=0,Cat.Data=0,Forecast=0,DOE=1,SW=0} => {Intro=0}",0.0767123287671233,0.96551724137931,0.0794520547945206,1.5946325479794,28
"{DataMining=0,Cat.Data=0,Regression=0,Forecast=0,DOE=0} => {Intro=1}",0.241095890410959,0.628571428571429,0.383561643835616,1.59325396825397,88
"{DataMining=0,Cat.Data=0,Regression=0,Forecast=0,DOE=1,SW=0} => {Intro=0}",0.073972602739726,0.964285714285714,0.0767123287671233,1.5925985778927,27
"{DataMining=0,Survey=0,Regression=0,Forecast=0,DOE=1,SW=0} => {Intro=0}",0.073972602739726,0.964285714285714,0.0767123287671233,1.5925985778927,27
"{DataMining=0,Survey=0,Cat.Data=0,Forecast=0,DOE=1,SW=0} => {Intro=0}",0.0712328767123288,0.962962962962963,0.073972602739726,1.59041394335512,26
